generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed,run
0,20,1,9.549634746789256,5.763893633200859,26.12035105739708,0,144.75640773773193,run-14
1,20,1,7.440406771986767,2.9914220097220108,15.359528376918602,0,121.8566324710846,run-14
2,20,1,7.194232253967584,6.365068903561442,27.9648206782802,0,113.54878902435304,run-14
3,20,1,10.339780176366336,11.012038750234549,35.76593750683992,0,154.9932541847229,run-14
4,20,1,14.177935574330698,7.969737604270759,45.93649833966448,0,195.4775967597961,run-14
5,20,1,18.73934775700399,5.706577753583048,36.92062416802714,0,244.03910732269287,run-14
6,20,1,13.26129449319408,4.679575855556419,23.40783811227395,0,178.5432906150818,run-14
7,20,1,5.305793362145769,3.729298630758324,19.329717645476048,0,80.29248237609863,run-14
8,20,1,17.964769833168113,6.377638767554505,32.335948253292,0,231.64708948135376,run-14
9,20,1,18.000299250396687,4.515136529207182,25.089187086213204,0,252.1744306087494,run-14
10,20,1,18.6961448291839,6.079400269424671,26.78664550175836,0,250.82756447792053,run-14
11,20,1,18.343851567165675,4.810488000191331,35.34039121962788,0,242.5152752399445,run-14
12,20,1,4.563488488813298,0.3252676175120497,5.058448734148017,0,76.24837160110474,run-14
13,20,1,14.985177710995345,2.6327795454769274,20.58548106295172,0,191.31407403945923,run-14
14,20,1,14.78475578807039,8.888226648444595,32.97563096309364,0,201.7058732509613,run-14
15,20,1,4.606015567548211,1.0961392908827,9.377913661994691,0,75.41873216629028,run-14
16,20,1,15.04183635453452,7.974443232812946,26.8284805878421,0,204.64098000526428,run-14
17,20,1,13.32855769778817,7.814920654440216,26.66852944596246,0,182.1481692790985,run-14
18,20,1,15.376138754191402,12.109045032587378,43.16418487265495,0,212.91303205490112,run-14
19,20,1,11.908367738455304,4.425047858571937,20.5162277131718,0,154.88480496406555,run-14
0,20,1,12.12784086135554,7.02476374519627,28.794336856576045,0,157.27753520011902,run-10
1,20,1,9.044149060680436,10.839664719788573,40.552525295491215,0,132.8347234725952,run-10
2,20,1,21.720319884233845,8.763813789156044,41.25796392313438,0,291.2848937511444,run-10
3,20,1,10.6469373651147,8.116280752806965,29.316220792049084,0,154.88805723190308,run-10
4,20,1,13.785837606079507,8.144839088176205,38.18308558868781,0,196.2429037094116,run-10
5,20,1,16.20650322936154,6.946845841233997,24.87750893763825,0,218.65383434295651,run-10
6,20,1,16.971516864253246,9.568089860485816,39.880859684227616,0,227.026198387146,run-10
7,20,1,12.516822591761652,8.86791514900742,27.81852591434397,0,175.7444987297058,run-10
8,20,1,18.968416522293563,3.6907595982582975,30.407516198387555,0,247.2473466396332,run-10
9,20,1,19.24631222733275,6.426134150356907,27.76666008726453,0,262.4394257068634,run-10
10,20,1,5.784585610483522,8.475761040018547,39.06190221118066,0,98.0805525779724,run-10
11,20,1,16.446220080273505,10.98657458743894,37.53959806985888,0,218.17598223686215,run-10
12,20,1,5.616936253891775,8.17528037460097,40.48998247541535,0,98.15581226348876,run-10
13,20,1,25.116385424548465,11.22737963425624,60.00077835767849,0,303.35613918304443,run-10
14,20,1,4.330731936024766,3.3892442040149264,19.10366908038489,0,88.68659520149231,run-10
15,20,1,20.516486627682774,8.63815931812841,39.43360583962773,0,281.4564998149872,run-10
16,20,1,5.138015988196351,3.1398267965198734,18.15118805233824,0,82.75433802604675,run-10
17,20,1,18.63648989471181,6.524663896420938,29.661414447662043,0,238.58297967910767,run-10
18,20,1,11.130868304994928,7.387953093876391,39.89060893831518,0,159.86638951301575,run-10
19,20,1,14.40984983365737,8.510963910839608,32.12007073722923,0,189.54885125160217,run-10
0,20,1,3.640281416672141,0.9812403087855008,5.089238573540251,0,66.8734724521637,run-15
1,20,1,17.62721397568472,6.396522879599672,29.024933023604564,0,229.81351447105408,run-15
2,20,1,10.834892610036825,6.169253031753515,23.479440502009663,0,157.8081440925598,run-15
3,20,1,10.75456088537861,9.583275288582698,38.45018041966525,0,147.75168299674988,run-15
4,20,1,16.740220502222467,8.297459490031041,42.90543740262208,0,222.98558592796329,run-15
5,20,1,13.748835647753031,8.540457311569554,31.933965198263973,0,171.5160412788391,run-15
6,20,1,18.86625845015092,5.70733534441317,26.02597140831635,0,260.0499603748321,run-15
7,20,1,22.72402373001742,11.860935145815706,50.6842730687408,0,288.3022255897522,run-15
8,20,1,7.598894383470023,8.083884601725087,24.907435684342865,0,121.38117003440856,run-15
9,20,1,17.284344583913196,6.03400455121907,28.6673212593738,0,239.41197514534,run-15
