generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed,run
0,20,1,10.660948934669111,7.954736611032291,26.63518922546425,0,148.77391386032104,run-14
1,20,1,12.967973530334424,12.999812649008463,55.9072197386506,0,167.6097755432129,run-14
2,20,1,11.865108410595528,7.831166697413197,29.867069008180216,0,173.03565096855164,run-14
3,20,1,12.447585805056748,12.19799206714702,38.56300453029996,0,171.47922945022583,run-14
4,20,1,20.44272337413781,10.043859024113122,39.28945451088659,0,253.2484040260315,run-14
5,20,1,27.58924040753248,10.626313192952566,60.0247264114838,0,331.3023750782013,run-14
6,20,1,23.76825920478677,12.696085307751009,60.028503145211815,0,286.51504278182983,run-14
7,20,1,20.22598467989976,15.697593444627111,56.91614526146115,0,254.00954794883728,run-14
8,20,1,30.1857445514529,11.16230768245222,55.51725924519711,0,343.3192722797394,run-14
9,20,1,26.935120217359763,9.891277900426395,45.36502388307186,0,321.03309893608093,run-14
10,20,1,18.45823053703393,15.112902326806475,44.78196802449239,0,225.3487787246704,run-14
11,20,1,29.484575125151128,8.308759188109855,47.17824811971383,0,351.09038758277893,run-14
12,20,1,15.855431758462814,9.38017100921646,44.54654314662835,0,196.07891082763672,run-14
13,20,1,35.62806175875598,11.849781530317774,54.68609805146936,0,409.57025933265686,run-14
14,20,1,30.559921775697365,9.891489630718649,60.00990296003756,0,364.7871487140656,run-14
15,20,1,23.49547640136089,12.64447757603378,46.97119109605784,0,269.26779651641846,run-14
16,20,1,25.964389237602823,13.638292606854971,60.01219857319976,0,315.0924394130707,run-14
17,20,1,24.19790874939768,13.203200172099562,60.01679494175741,0,289.7981300354004,run-14
18,20,1,30.66623996568227,8.792244238071005,50.03931901740835,0,360.83908557891846,run-14
19,20,1,24.16173040932517,15.750622272548767,52.61069070693775,0,292.69857835769653,run-14
0,20,1,9.60030181732226,5.022103982114583,24.25940736223282,0,133.54226899147034,run-10
1,20,1,8.825284566848786,8.739606920411758,36.74939812707067,0,122.26654529571532,run-10
