generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed,run
0,20,1,9.128501901854213,4.159301202805714,22.361653967378977,0,111.23613977432252,run-14
1,20,1,20.195713531377518,16.96422097463834,60.020338509402045,0,255.2692096233368,run-14
2,20,1,18.47621399230496,12.700174312088288,60.06818786500018,0,235.17643237113955,run-14
3,20,1,24.41407206500426,17.037910667603786,60.01099395811417,0,289.60749220848083,run-14
4,20,1,29.17750702049661,7.946835823929885,43.03915521198855,0,358.55433464050293,run-14
5,20,1,23.92087025265578,8.691899244773849,39.37884508333982,0,295.1013386249542,run-14
6,20,1,23.649079616134763,6.885990368537743,36.08411021680819,0,287.75874304771423,run-14
7,20,1,20.880858667855165,15.43374787758184,55.5841044948716,0,256.4328832626343,run-14
8,20,1,31.89622525708225,10.622036370216396,60.02260979415428,0,374.2553651332855,run-14
9,20,1,29.532028230959348,9.714489490765994,60.00103312216814,0,357.1974458694458,run-14
10,20,1,9.730082686160028,6.616055124314096,23.0603645747418,0,137.0467073917389,run-14
11,20,1,25.169411497438425,8.372736396031668,39.39052701708677,0,309.2191333770752,run-14
12,20,1,28.768411020615385,9.882371719988368,45.95484752132764,0,345.77509355545044,run-14
13,20,1,28.61496540935773,7.7895876858774225,49.78568668789677,0,346.0398280620575,run-14
14,20,1,32.71524474566694,9.83414680418191,60.02197670871302,0,376.8504569530487,run-14
15,20,1,31.25474602792649,8.8524957384441,51.25158793160552,0,363.7530109882355,run-14
16,20,1,23.77630280806084,13.405685863694504,56.74843180697871,0,286.09589886665344,run-14
17,20,1,19.479442548999693,8.299495133579258,33.616929088064936,0,244.5126883983612,run-14
18,20,1,31.200492862479543,9.107413773909878,52.04605761276592,0,368.8530850410461,run-14
19,20,1,23.176147549351068,10.884302190661677,60.05247621927904,0,286.0080187320709,run-14
0,20,1,11.306186743319582,8.99434698264968,34.205454238855125,0,149.9695920944214,run-10
1,20,1,11.365929071747754,12.112178414089326,41.55535461772578,0,155.30632710456848,run-10
2,20,1,23.41110871819639,10.513187275884649,41.87295778937966,0,297.5857646465301,run-10
3,20,1,8.00862457767887,7.687565490278456,32.09469660436434,0,126.30263948440552,run-10
4,20,1,20.27419641119139,11.692429176906929,60.0391722685405,0,264.8045406341553,run-10
5,20,1,22.5638884114768,7.761869610276494,33.94434028975836,0,289.52435660362244,run-10
6,20,1,17.861624782916767,6.68485154722941,29.077755169354777,0,244.63844537734985,run-10
7,20,1,12.82807957692088,11.184476679299618,34.88349808451591,0,164.56643772125244,run-10
8,20,1,18.56132932240513,8.226382625297221,47.22701986820751,0,238.09124326705933,run-10
9,20,1,22.698686128425265,11.178457848945952,52.41924203055245,0,276.444540977478,run-10
10,20,1,24.851388817876877,13.376034759897417,46.69756105876818,0,310.1170825958252,run-10
11,20,1,23.26713670455352,10.825969699328017,47.54168733106682,0,294.2063536643982,run-10
12,20,1,19.884684334938004,11.867853717483229,39.740961337751706,0,239.90806436538696,run-10
13,20,1,30.656316438128187,16.507997174097234,60.02825105027348,0,337.951632976532,run-10
14,20,1,32.6384603640998,9.64594898741578,51.08686723209951,0,371.5487296581268,run-10
15,20,1,30.788075663978447,8.819067176799983,53.87700383172342,0,363.50313544273376,run-10
16,20,1,29.341351236255598,14.728470973530824,60.030757129042144,0,323.59133219718933,run-10
17,20,1,25.32067816821499,13.049805662567678,60.017157511375686,0,301.84369254112244,run-10
18,20,1,25.01965492474569,13.047431852011773,49.56748189538322,0,301.8376953601837,run-10
19,20,1,15.30364979396619,15.917858386385294,60.01944746033291,0,199.807231426239,run-10
0,20,1,3.5531284145702124,2.668127179593192,13.686467692234244,0,64.39693260192871,run-15
1,20,1,20.083343934617304,9.470443833974995,37.185257180582056,0,256.3809623718262,run-15
2,20,1,23.869265228016427,14.887758514950225,60.05420815743935,0,270.717746257782,run-15
3,20,1,16.075282402134548,12.154391265822824,45.082864819174254,0,204.0564317703247,run-15
4,20,1,29.173686690163247,13.480029402422517,60.0025367795409,0,347.19558811187744,run-15
5,20,1,11.31873626668746,11.914293942728795,49.96068030089436,0,150.87360453605652,run-15
6,20,1,25.776578604964136,9.857497307400742,60.008502869875706,0,312.2553164958954,run-15
7,20,1,27.05259577392088,12.096042281857889,60.011959204721386,0,318.8976082801819,run-15
8,20,1,22.341041316024803,14.7314691022231,60.029131558736665,0,254.22839498519895,run-15
9,20,1,28.38627650716213,8.66988225561462,52.411915980749946,0,340.44049549102783,run-15
10,20,1,27.96068148947266,11.08075753152169,60.008021742092254,0,348.30107951164246,run-15
